Genus	J03630_V1_V3	J03631_V1_V3	J03632_V1_V3	J03644_V1_V3	J03630_V1_V9	J03631_V1_V9	J03632_V1_V9	J03644_V1_V9
02d06	0	4	0	0				
Adlercreutzia	4	0	0	0				
Akkermansia	00000000	120000000	0125410000	01029413343	0000000000000000	30000000000000000	0334110000000000000	0003526321155151811583124
Alistipes	10000000	8435216400	016520050	202200004	000	825865	0076	0022
Anaerostipes	00	20	20	05				
Bacteroides	32422454991692221331218107012054961623044925052955969521033426662114635335549273442545321441121553134432333212111000000000000000000000000000000000000000000000000000000	001220036023700000000100010020120050300002900444300000000000005000000020000000000400000003202312134321274419131365848395041473535343000000000000000000000000000000	0172200000000000004200000000000000000000000000000000800001000012004212000000201900200200000000000000000002000000140736717264341515300000000000000000	031800000000000003000000400000100000111001400000000000001100000000000000050000000000000000100010100000000010000000001700002050012218112511335376853433	160161816159514698128712325368846886223831111000000000000000000000000000000000000000000	368000003000505050000357702608003321002728311636221226616451246911827471628111274161120000000000000	00000000018700000210400000200000440000000000000000000000000000052125357500000000	80000000000000000000000000000000000000000000000000000000000100000138149773635
Blautia	8452310000000000000	30210107533533100000	0000000000001235600	0000000000000000035				
Catenibacterium	0	0	0	4	0	0	0	21
Cloacibacillus	0	0	0	3				
Clostridium	1222243000	50000300	00000000	00200094	1311500	0550117	00000	00000
Collinsella	0	5	0	0				
Coprococcus	6853333443000000	0010001010900000	00000000006057400	000000000000001313	0000000	0000000	233160000	0001021811
Desulfovibrio	0	0	0	6	0	0	0	10
Dialister	000	800	0410	000	000000	400553000	000402313	000000
Dorea	3000	0321	1010	0103				
Escherichia	0000000	0000000	4399534	0000000	00	00	36	00
Faecalibacterium	1804451316191012144515343000000000000000000000000000000000000000000000000000nana	013020042070000044196153183317111212515154112119572410000000000000000000000000000nana	12002230000000000000001000010000004002016941020345910101165358314610000000nana	0000002300000000000000000000000000002402022710200090000120251917271119114nana	15339310761412217913000000000000000000000na	0000401904000014212104727321596000000000000na	100002100001110000000000196512135000000na	0000000000000000000000230000111112611165na
Lachnobacterium	2	1	0	0				
Lachnospira	641000000000000	4056412200000000	001000276333343	000013000013000	100	054	000	200
Odoribacter	000000	1530000	400000	301319174	00000	120000	20000	01053214
Oscillospira	162533000000000000000	62220634000000000000	000000008653310000000	0000000000000016471010413	50000000	35000000	00510000	0005071011313
Oxalobacter	0	0	0	6				
Parabacteroides	44168512219452330000000000000000000000	0017601020100105841569000000000000000	000000100000000000873630000000000	00100000000000000000000158941699793	32000000	026940000	0000000	00014756
Paraprevotella	546300	2115050	00000	00003	225	177	00	00
Phascolarctobacterium	29000	0000	0480	00513	11800	000	000	85419
Prevotella	00000000000000	00000000000000	612083835591336123333	10000000000000	0000000000000000000	0000000000000000000	9111359136534126020482694893064	0000000000000000000
Roseburia	000000000	1414211411120	0000852010	000000170	000000000	55191013771080	091000000	060000007
Ruminococcus	4630000000000000	00411130000000000	00203016031861084300	0012200000000004529	0000000000	6760000000	000111100000	01001216776234
SMB53	0	0	4	0				
Streptococcus					0	2	0	1
Subdoligranulum	300000	4140000	507400	18000119	000000	331100	000140	29181709
Sutterella	166413100000	00021041464	000002000	200000000	3146732498000000	000000701919242222	000000000000	000000000000
cc_115	0	0	0	3	0	0	0	7
unclassified	547115921131975113441851735834432341411100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	06000109000000010000000041410020210581317444176441517374443118456348333355423622424144443100000000000000000000000000000000000000000000000000000000000	000008070000220110000000000300000434700000000003000000000000000006400100100000006115317893101074622412463321322116874423330000000000000000000000000000000	00000701000020000020000000000000009280000000000300120000000000000010000501020000020000000000001002100000000100043734661028670338313434539331710634334454	60000000000000000000000000000000000000000000000000000000	072936275861069000000000000000000000000000000000000000000000	0000050000071819103626781710251301211925104515662716381135000000000000000000	0000020000000130000000000000000000000009127321224220519329142033273910114
